,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Whitney Cummings,1982-09-04,"Washington, D.C., U.S.",,Alive,"Whitney Cummings (born September 4, 1982) is an American stand-up comedian, actress, producer, writer, director, and podcaster. Her credits include one comedy album, four stand-up specials, three Comedy Central Roasts, and numerous television series in which she has served various roles including producer, director, showrunner, and actress.A native of Washington, D.C.",https://en.wikipedia.org/wiki/Whitney_Cummings,https://upload.wikimedia.org/wikipedia/commons/0/07/Whitney_Cummings_2019.png
Dan Cummins,1977-05-17,"Riggins, Idaho",,Alive,"Dan Cummins (born May 17, 1977), also known as ""The Master Sucker"", ""The Prophet of Nimrod"", is a professional stand-up comedian, the host of the Timesuck podcast, and Cult Leader. His first comedy album, Revenge is Near, distributed by Warner Bros. Records, was ranked as one of the top 10 comedy CDs of 2009 by Punchline Magazine. His first hour-long special for Comedy Central, titled Crazy With A Capital F, premiered May 29, 2010.",https://en.wikipedia.org/wiki/Dan_Cummins,No Image
Bryan Callen,1967-1-26,"Manila, Philippines",,Alive,"Bryan Callen (born January 26, 1967)[3][4] is an American stand-up comedian, actor, writer and podcaster. He studied acting at the Beverly Hills Playhouse.[5] Callen initiated his career as one of the original cast members on the sketch comedy series MADtv.[6] Callen now plays Coach Mellor in Schooled[7] and is co-host of the podcast The Fighter and the Kid, alongside Brendan Schaub.",https://en.wikipedia.org/wiki/Bryan_Callen,https://upload.wikimedia.org/wikipedia/commons/4/47/BryanCallenApr2011.jpg
Andrew Daly,1971-4-15,"Mount Kisco, New York, U.S.",,Alive,"Andrew Daly (born April 15, 1971) is an American actor, comedian and writer. He starred as Forrest MacNeil on the Comedy Central series Review, and had a supporting role in the HBO comedy series Eastbound & Down as Terrence Cutler. He has also made recurring appearances on television programs such as Silicon Valley, Modern Family, Black-ish, Trial & Error, the Netflix series The Who Was? Show, Reno 911!, and Comedy Bang! Bang! as well as animated shows such as 2020’s Solar Opposites, Bob's Burgers and Adventure Time.Daly was born in Mount Kisco, New York, and was raised in New Jersey.",https://en.wikipedia.org/wiki/Andrew_Daly,https://upload.wikimedia.org/wikipedia/commons/9/92/Andy_Daly_at_2015_PaleyFest.jpg
Godfrey Danchimah,1969-7-21,"{{nowrap|Lincoln, Nebraska|Lincoln, Nebraska, U.S.}}",,Alive,"Godfrey C. Danchimah, Jr. (born July 21, 1969), professionally known as Godfrey, is an American comedian and actor[1] who has appeared on BET, VH1, Comedy Central, and feature films, such as Soul Plane, Original Gangstas, Zoolander, and Johnson Family Vacation. He was also a spokesperson for 7 Up during the popular '7up yours' advertising campaign.",https://en.wikipedia.org/wiki/Godfrey_Danchimah,https://upload.wikimedia.org/wikipedia/commons/6/67/Godfrey_%28comedian%29.jpg
Rodney Dangerfield,1921-11-22,"Babylon, New York, U.S.",2004-10-5,Deceased,"Jack Roy (born Jacob Rodney Cohen; November 22, 1921 – October 5, 2004), popularly known by the stage name Rodney Dangerfield, was an American stand-up comedian, actor, producer, screenwriter, musician and author. He was known for his self-deprecating one-liner humor, his catchphrase “I don't get no respect!”[2] and his monologues on that theme.He began his career working as a stand-up comic in the Borscht Belt resorts of the Catskill Mountains northwest of New York City. His act grew in popularity as he became a mainstay on late-night talk shows throughout the 1960s and 1970s, eventually developing into a headlining act on the Las Vegas casino circuit.",https://en.wikipedia.org/wiki/Rodney_Dangerfield,https://upload.wikimedia.org/wikipedia/commons/8/87/Rodney_Danagerfield_1972-1.jpg
Larry David,1947-7-2,"New York City|New York City, New York, U.S.",,Alive,"Lawrence Gene David (born July 2, 1947)[3] is an American comedian, writer, actor, director, and television producer.[4] He and Jerry Seinfeld created the television series Seinfeld, of which David was the head writer and executive producer for the first seven seasons. David gained further recognition for the HBO series Curb Your Enthusiasm, which he created and stars in as a semi-fictionalized version of himself. David has written or co-written every episode of Curb Your Enthusiasm since its pilot episode in 1999.",https://en.wikipedia.org/wiki/Larry_David,https://upload.wikimedia.org/wikipedia/commons/7/70/Larry_David_at_the_2009_Tribeca_Film_Festival_2.jpg
Pete Davidson,1993-11-16,"Staten Island|Staten Island, New York, U.S.",,Alive,"Peter Michael Davidson (born November 16, 1993)[2] is an American comedian and actor. He is a cast member on Saturday Night Live. Davidson has also appeared on the MTV shows Guy Code, Wild 'n Out, and Failosophy.[3][4] He has performed stand-up comedy on Adam DeVine's House Party, Jimmy Kimmel Live!, and Comedy Underground with Dave Attell, and guest-starred in Brooklyn Nine-Nine.",https://en.wikipedia.org/wiki/Pete_Davidson,https://upload.wikimedia.org/wikipedia/commons/0/0a/Pete_Davidson_in_2015_%2817073107891%29.jpg
Jeff B. Davis,1973-10-6,"Los Angeles, California, U.S.",,Alive,"Jeffrey Bryan Davis (born October 6, 1973) is an American actor, comedian, and singer. He is known for his work as a recurring performer on the improv comedy show Whose Line Is It Anyway? Since July 2016 he has starred as the Goblin Hero Boneweevil on the (formerly) Seeso original production HarmonQuest.[2]He appeared in Drew Carey's Green Screen Show as one of the main actors. In 2011, Davis appeared on Drew Carey's improv show, Improv-A-Ganza.",https://en.wikipedia.org/wiki/Jeff_B._Davis,https://upload.wikimedia.org/wikipedia/commons/0/04/Jeff_Davis_2010.jpg
Nore Davis,1984-4-10,"New York City, New York (state)|New York",,Alive,"Nore Davis (born April 10, 1984) is an American stand-up comedian and actor who has appeared on Comedy Central and MTV television programming.[4]Nore Davis was born on April 10, 1984 in New York City. He first started doing stand-up comedy during his teenage years while living in Yonkers, New York.[5] His interest in stand-up comedy was originally a side hobby for him, as he only did open mic nights and performed on college campuses.",https://en.wikipedia.org/wiki/Nore_Davis,No Image
Sid Davis,1916-04-01 00:00:00,"Chicago, Illinois",2006-10-16,Deceased,"Sidney ""Sid"" Davis (April 1, 1916 – October 16, 2006) was an American director and producer who specialized in social guidance films.Davis was born on April 1, 1916 in Chicago, Illinois.[1] He was born to a housepainter father and a seamstress mother.[2] He moved to Los Angeles in 1920.",https://en.wikipedia.org/wiki/Sid_Davis,No Image
Frank DeCaro,1962-11-06,"New York City, U.S.",,Alive,"Frank DeCaro (born November 6, 1962) is an American writer, performer and talk radio host. He is best known for his work on The Daily Show, where he appeared as a contributor from 1996 to 2003. Starting in 2004 until 2016 he was the host of The Frank DeCaro Show, a live daily radio show with producer/co-host Doria Biddle, for SIRIUS XM OutQ 106. In April 2019 his book, Drag: Combing Through the Big Wigs of Show Business, about the history of drag queens was released by Rizzoli Libri.",https://en.wikipedia.org/wiki/Frank_DeCaro,No Image
Ellen DeGeneres,1958-1-26,"Metairie, Louisiana, U.S.",,Alive,"Ellen Lee DeGeneres (/dəˈdʒɛnərəs/ də-JEN-ər-əs; born January 26, 1958)[2] is an American comedian, television host, actress, writer, and producer. She starred in the sitcom Ellen from 1994 to 1998 and has hosted her syndicated TV talk show, The Ellen DeGeneres Show, since 2003.Her stand-up career started in the early 1980s and included a 1986 appearance on The Tonight Show Starring Johnny Carson. As a film actress, DeGeneres starred in Mr.",https://en.wikipedia.org/wiki/Ellen_DeGeneres,https://upload.wikimedia.org/wikipedia/commons/b/b8/Ellen_DeGeneres_2011.jpg
Bianca Del Rio,1975-06-27,"New Orleans, Louisiana, U.S.",,Alive,"Roy Haylock (born June 27, 1975), better known by the stage name Bianca Del Rio, is an American drag queen, comedian, actor, and costume designer best known for winning the sixth season of RuPaul's Drag Race. In June 2019, New York magazine published the results from their panel of judges and writers which ranked Del Rio the top Drag Race superstar.[1]Haylock grew up in Gretna, Louisiana. He is of Cuban descent on his mother's side and Honduran descent on his father's side.",https://en.wikipedia.org/wiki/Bianca_Del_Rio,https://upload.wikimedia.org/wikipedia/commons/f/fb/Bianca_del_Rio_at_Dragcon_2018_by_dvsross.jpg
Rob Delaney,1977-1-19,"Boston, Massachusetts, U.S.",,Alive,"Rob Delaney (born January 19, 1977) is an American comedian, actor, writer, and activist. He is widely known as the co-star and co-writer of the TV show Catastrophe, as well as for minor roles in blockbuster action-comedy films like  Deadpool 2 (2018),[1] and Fast & Furious spin-off Hobbs & Shaw (2019).[2]Delaney was raised in Marblehead, Massachusetts.[3] He attended New York University's Tisch School of the Arts and graduated with a degree in musical theater in 1999.",https://en.wikipedia.org/wiki/Rob_Delaney,https://upload.wikimedia.org/wikipedia/commons/d/d8/Rob_Delaney.jpg
Lea DeLaria,1958-5-23,"Belleville, Illinois, U.S.",,Alive,"Lea DeLaria (born May 23, 1958) is an American comedian, actress, and jazz singer.[1][2][3] DeLaria is credited with being the first openly gay comic to appear on a late-night talk show with her 1993 appearance on The Arsenio Hall Show.[4] She is best known for her portrayal of inmate Carrie ""Big Boo"" Black on Netflix original series Orange Is the New Black.DeLaria was born in Belleville, Illinois,[1][2] the daughter of Jerry Jean (née Cox), a homemaker, and Robert George DeLaria, a jazz pianist and social worker.",https://en.wikipedia.org/wiki/Lea_DeLaria,https://upload.wikimedia.org/wikipedia/commons/5/57/Lea_DeLaria_at_the_International_Emmy_Awards.jpg
Joe DeRosa,1977-8-6,"Philadelphia, Pennsylvania, United States",,Alive,"Joe Derosa (born August 6, 1977) is an American stand-up comedian, author, musician, actor, producer, director, editor, television writer, and podcaster.DeRosa got his start in comedy performing as part of a comedic musical duo called Deep at the New Road Brewhouse in his hometown of Collegeville, Pennsylvania.[1] After a short time, Deep split up and DeRosa began performing stand-up comedy regularly at the Laff House in Philadelphia. DeRosa moved to New York City, where he became a regular performer in many of the city's comedy clubs.",https://en.wikipedia.org/wiki/Joe_DeRosa_(comedian),https://upload.wikimedia.org/wikipedia/commons/2/28/Jderosa2013.jpg
Mike DeStefano,1966-11-29,"The Bronx, New York (state)|New York, United States|U.S.",2011-3-6,Deceased,"Mike DeStefano (November 29, 1966[1][2][3][4] – March 6, 2011) was an American stand-up comedian. He used material from his heroin addiction, which began at age 15, and his recovery in brutally honest, profanity-laced routines. He was also a drug counselor to others.His first gig was in Florida, and that convinced him there was something to live for, and that he had options outside of taking his own life.",https://en.wikipedia.org/wiki/Mike_DeStefano,No Image
Dustin Diamond,1977-1-7,"San Jose, California, U.S.",,Alive,"Dustin Neil Diamond[1] (born January 7, 1977)[2] is an American actor, director, stand-up comedian, and musician best known for his role as Samuel ""Screech"" Powers throughout the Saved by the Bell franchise.Diamond was born to a Jewish family[3] in San Jose, California.[4] His father taught digital electronics for a computer-processing firm and his mother was a computer operator for Pacific Bell.[5]He attended Zion Lutheran School.",https://en.wikipedia.org/wiki/Dustin_Diamond,https://upload.wikimedia.org/wikipedia/commons/7/7f/Dustin_Diamond_2012.jpg
Joey Diaz,1963-02-19,"Havana, Cuba",,Alive,"José Antonio ""Coco"" Díaz (born February 19, 1963) is a Cuban-American comedian, actor, and podcast host. He had roles in the television series My Name Is Earl and the films The Longest Yard, Spider-Man 2 and Taxi. Since 2012, Diaz has hosted the podcast, The Church of What's Happening Now, is a regular guest on The Joe Rogan Experience, and produced an autobiographical documentary.Joey Diaz was born in Havana, Cuba.",https://en.wikipedia.org/wiki/Joey_Diaz,https://upload.wikimedia.org/wikipedia/commons/2/28/Joey_Diaz.jpg
Andy Dick,1965-12-21,"Charleston, South Carolina, U.S.",,Alive,"Andrew Roane Dick (born Andrew Thomlinson, December 21, 1965)[2] is an American comedian, actor, musician, and television and film producer. Best known as a comic, he is also known for his eccentric behavior, drug addiction, and sexual misconduct allegations and arrests.[3][4] His first regular television role was on the short-lived but influential Ben Stiller Show. In the mid-1990s, he had a long-running stint on NBC's NewsRadio and was a supporting character on Less than Perfect.",https://en.wikipedia.org/wiki/Andy_Dick,https://upload.wikimedia.org/wikipedia/commons/a/a3/Andy_Dick_2012_Shankbone.JPG
Phyllis Diller,1917-7-17,"Lima, Ohio, U.S.",2012-8-20,Deceased,"Phyllis Ada Diller (née Driver; July 17, 1917 – August 20, 2012) was an American actress and comedienne, best known for her eccentric stage persona, self-deprecating humor, wild hair and clothes, and exaggerated, cackling laugh.Diller was one of the first female comics to become a household name in the U.S., credited as an influence by Joan Rivers, Roseanne Barr, and Ellen DeGeneres, among others.",https://en.wikipedia.org/wiki/Phyllis_Diller,https://upload.wikimedia.org/wikipedia/commons/a/ad/Phyllis_diller_2-25-2007.jpg
Nick DiPaolo,1962-01-31,"Danvers, Massachusetts, US",,Alive,"Nicholas Rocco Di Paolo (born January 31, 1962) is an American stand-up comedian, writer, actor, radio personality and podcast host. In July 2018, he launched his new audio and video podcast, The Nick Di Paolo Show. He was also an emcee on truTV Presents: World’s Dumbest.Di Paolo was born in Danvers, Massachusetts to parents Nick and Joan Di Paolo.",https://en.wikipedia.org/wiki/Nick_DiPaolo,https://upload.wikimedia.org/wikipedia/commons/5/5a/Nick_Di_Paolo.jpg
Jimmy Dore,1965-7-26,"Chicago, Illinois, U.S.",,Alive,"James Patrick Anthony Dore (born July 26, 1965) is an American stand-up comedian and political commentator best known for hosting The Jimmy Dore Show.Dore was born in southwest Chicago, Illinois on July 26, 1965, into a Catholic family of Polish and Irish descent. He has eleven siblings. He graduated from Columbia College Chicago[1] with a degree in marketing communications.",https://en.wikipedia.org/wiki/Jimmy_Dore,https://upload.wikimedia.org/wikipedia/commons/0/0a/Jimmy_Dore_by_Gage_Skidmore_2.jpg
Jon Dore,1975-11-2,"Ottawa, Ontario, Canada",,Alive,"Jonathan David Dore (born November 2, 1975) is a Canadian comedian and actor who has lived  in Los Angeles since 2008.[1]Dore attended Brookfield High School and studied broadcasting at Algonquin College in Ottawa.[2]Jon Dore was formerly a correspondent for CTV's Canadian Idol.  Dore also appeared on his own Comedy Now! special for CTV and The Comedy Network, and was featured on the A Channel's comedy special Toronto Laughs.",https://en.wikipedia.org/wiki/Jon_Dore,https://upload.wikimedia.org/wikipedia/commons/1/1b/Jon_Dore.jpg
Jeff Dunham,1962-4-18,"Dallas, Texas, U.S.",,Alive,"Jeffrey Dunham (born April 18, 1962) is an American ventriloquist, stand-up comedian and actor who has also appeared on numerous television shows, including Late Show with David Letterman, Comedy Central Presents, The Tonight Show and Sonny With a Chance. He has six specials that run on Comedy Central: Jeff Dunham: Arguing with Myself, Jeff Dunham: Spark of Insanity, Jeff Dunham's Very Special Christmas Special, Jeff Dunham: Controlled Chaos, Jeff Dunham: Minding the Monsters, and Jeff Dunham: All Over the Map. Dunham also starred in The Jeff Dunham Show, a series on the network in 2009.[1]His style has been described as ""a dressed-down, more digestible version of Don Rickles with multiple personality disorder"".",https://en.wikipedia.org/wiki/Jeff_Dunham,https://upload.wikimedia.org/wikipedia/commons/b/bb/Jeff_Dunham_and_Achmed.JPG
Jimmy Durante,1893-2-10,"Manhattan, New York, U.S.",1980-1-29,Deceased,"James Francis Durante (/dəˈrænti/ də-RAN-tee, Italian: [duˈrante]; February 10, 1893 – January 29, 1980) was an American singer, pianist, comedian, and actor. His distinctive gravelly speech, Lower East Side accent, comic language-butchery, jazz-influenced songs, and prominent nose helped make him one of America's most familiar and popular personalities of the 1920s through the 1970s. He often referred to his nose as the schnozzola (Italianization of the American Yiddish slang word schnoz ""big nose""), and the word became his nickname.Durante was born on the Lower East Side of New York City.",https://en.wikipedia.org/wiki/Jimmy_Durante,https://upload.wikimedia.org/wikipedia/commons/c/c9/Jimmy_durante_1964.JPG
Shelley Duvall,1949-07-07,"Fort Worth, Texas|Fort Worth, Texas, U.S.",,Alive,"Shelley Alexis Duvall (born July 7, 1949) is an American former actress, producer, writer, and singer. Over the duration of her career, Duvall was praised for her portrayals of various eccentric characters.[1] Her accolades include a Cannes Film Festival Award for Best Actress, a Peabody Award, two Emmy Award nominations, and a BAFTA Award nomination.Duvall began her career in the 1970s appearing in various films by director Robert Altman, including Brewster McCloud (1970), McCabe & Mrs.",https://en.wikipedia.org/wiki/Shelley_Duvall,https://upload.wikimedia.org/wikipedia/commons/4/4c/Shelley_Duvall_%28December_1977%29.jpg
Jeff Dye,1983,"Seattle, Washington (state)|Washington, U.S.",,Alive,"Jeffrey Dye (born 1983)[1] is an American stand-up comedian and actor.Dye was born in 1983 in Seattle[2] and raised in Kent, Washington.[3] He attended Kentwood High School in Covington.[1]Dye has hosted two series for MTV—Numbnuts and Money From Strangers and also appeared on Girl Code.",https://en.wikipedia.org/wiki/Jeff_Dye,https://upload.wikimedia.org/wikipedia/commons/9/90/Jeff_Dye_in_November_2016.jpg
Earthquake,1963-5-29,"Washington, D.C., United States",,Alive,"Nathaniel Stroman (born May 29, 1963), best known as ""Earthquake"", is an American actor, voice artist, and comedian.  He also hosted  a daily radio show on afternoon drive for WBLS.Earthquake performed a half-hour HBO special as part of the series One Night Stand, which first aired on August 26, 2005. He also had a small role in Kevin Smith's film Clerks II, and a supporting role in the film The Longshots.",https://en.wikipedia.org/wiki/Earthquake_(comedian),No Image
Graham Elwood,1969-8-5,"Stoughton, Wisconsin|Stoughton, Wisconsin, United States",,Alive,"Graham Elwood (born August 5, 1969) is an American comedian, actor, podcaster, and writer.Born in Stoughton, Wisconsin, Elwood grew up in the Nakoma neighborhood of nearby Madison. After his parents divorced, he later moved to Evanston, Illinois.[1] While in Evanston, Elwood went on to captain his high school's football team as well as played lacrosse.",https://en.wikipedia.org/wiki/Graham_Elwood,No Image
Bill Engvall,1957-7-27,"Galveston, Texas, United States|U.S.",,Alive,"William Ray Engvall Jr. (born July 27, 1957)[1] is an American comedian and actor best known for his work as a stand-up comic, his signature ""Here's Your Sign"" bit, and as a member of the Blue Collar Comedy group.Bill Engvall was born in Galveston, Texas. Following graduation from Richardson High School in Richardson, Texas, Engvall attended Southwestern University in Georgetown, Texas, intending to earn a bachelor's degree and become a teacher.",https://en.wikipedia.org/wiki/Bill_Engvall,https://upload.wikimedia.org/wikipedia/commons/8/88/Bill_Engvall_2010.jpg
Felipe Esparza,1976-06-11,"Sinaloa, Mexico",,Alive,Felipe Esparza is a Mexican-American stand-up comedian and actor. He began performing stand-up in 1994. He won Last Comic Standing in 2010.[2]Esparza has hosted a weekly podcast called What's Up Fool? since 2014.,https://en.wikipedia.org/wiki/Felipe_Esparza,No Image
Cameron Esposito,1981-10-17,"Western Springs, Illinois, U.S.",,Alive,"Cameron Anne Young Anastasia Esposito (born October 17, 1981) is an American comedian, actress, and podcaster, known for her show Take My Wife, as well as her stand-up comedy and her podcast, Queery. Esposito substantially focuses on topics surrounding the LGBTQ community, feminism, social justice, and the challenges faced by members of marginalized communities.[2][3] Originally from Western Springs, Illinois, Esposito lives in Los Angeles.Born to Brenda and Nick Esposito, Cameron Anne Young Anastasia Esposito was raised in Western Springs, Illinois.",https://en.wikipedia.org/wiki/Cameron_Esposito,https://upload.wikimedia.org/wikipedia/commons/1/1e/Cameron_Esposito_by_Gage_Skidmore.jpg
Bridget Everett,1972-04-21,"Manhattan, Kansas|Manhattan, Kansas",,Alive,"Bridget Everett (born April 21, 1972)[1][2] is an American comedian, actress, singer, writer, and cabaret performer. She has performed stand-up on Inside Amy Schumer[3] on Comedy Central. Everett has described herself as an “alt-cabaret provocateur.”[4][2]Originally from Manhattan, Kansas,[5] she has been performing in New York City for over a decade.",https://en.wikipedia.org/wiki/Bridget_Everett,https://upload.wikimedia.org/wikipedia/commons/c/c8/Bridget_Everett_at_La_Mama_Theater_June_9_2012_%28cropped%29.png
Jimmy Fallon,1974-9-19,"New York City, U.S.",,Alive,"James Thomas ""Jimmy"" Fallon (born September 19, 1974) is an American comedian, actor, television host, writer, and producer. He is known for his work in television as a cast member on Saturday Night Live and as the host of late-night talk show The Tonight Show Starring Jimmy Fallon and before that Late Night with Jimmy Fallon. He grew up with an interest in comedy and music, moving to Los Angeles at 21 to pursue opportunities in stand-up comedy.He was commissioned to join NBC's Saturday Night Live as a cast member in 1998, fulfilling a lifelong dream.",https://en.wikipedia.org/wiki/Jimmy_Fallon,https://upload.wikimedia.org/wikipedia/commons/9/9e/Jimmy_Fallon%2C_Montclair_Film_Festival%2C_2013.jpg
Mitch Fatel,1968-12-20,No home town,,Alive,"Mitch Fatel (born Mitch Faytel[1] in 1968[2] in Manhattan) is a stand-up comedian. He was raised in Yonkers, New York and began doing stand-up at the age of 15.[3] In 1988 Fatel attended NYU/Tisch School of the Arts and majored in Film and Acting Studies.[4] Around this time Mitch was an intern on The Howard Stern Show.",https://en.wikipedia.org/wiki/Mitch_Fatel,https://upload.wikimedia.org/wikipedia/commons/2/24/MitchFatel.jpg
Wayne Federman,1959-6-22,"Los Angeles, California, US",,Alive,"Wayne Federman (born June 22, 1959) is an American comedian, actor, author, writer, comedy historian, podcaster, and musician. He is noted for numerous stand-up comedy appearances in clubs, theaters, and on television; a biography of ""Pistol"" Pete Maravich; and supporting comedic acting roles in The X-Files, The Larry Sanders Show, Curb Your Enthusiasm, Crashing, Legally Blonde, 50 First Dates, The 40-Year-Old Virgin, and Step Brothers. He was the head monologue writer for NBC's Late Night with Jimmy Fallon in its first season. He co-produced the Emmy-winning HBO documentary The Zen Diaries of Garry Shandling.",https://en.wikipedia.org/wiki/Wayne_Federman,https://upload.wikimedia.org/wikipedia/commons/1/1d/Waynefederman1.jpg
Craig Ferguson,1962-5-17,"Springburn, Glasgow, Scotland",,Alive,"Craig Ferguson (born 17 May 1962) is a Scottish-American television host, comedian, author, and actor. He hosted the syndicated game show Celebrity Name Game (2014–17), for which he won two Daytime Emmy Awards, and Join or Die with Craig Ferguson (2016) on History.[1] He was also the host of the CBS late-night talk show The Late Late Show with Craig Ferguson (2005–14). In 2017 he released a 6-episode web show with his wife Megan, titled Couple Thinkers.",https://en.wikipedia.org/wiki/Craig_Ferguson,https://upload.wikimedia.org/wikipedia/commons/7/75/Craig_Ferguson_by_Gage_Skidmore.jpg
Adam Ferrara,1966-2-2,"Queens, New York (state)|New York, United States",,Alive,"Adam Ferrara (born February 2, 1966)[1] is an American actor and comedian known for playing the role of Chief ""Needles"" Nelson on the FX series Rescue Me. He was a co-host on the U.S. version of Top Gear and played NYPD Sgt.",https://en.wikipedia.org/wiki/Adam_Ferrara,No Image
Totie Fields,1930-5-07,"Hartford, Connecticut, U.S.",1978-8-02,Deceased,"Totie Fields (May 7, 1930 – August 2, 1978) was an American comedian.[1][2]Fields was born Sophie Feldman in Hartford, Connecticut. She started singing in Boston clubs while still in high school, taking the stage name of Totie Fields. She was Jewish.",https://en.wikipedia.org/wiki/Totie_Fields,https://upload.wikimedia.org/wikipedia/en/c/c2/Totie.gif
Christian Finnegan,1973-4-1,"Albany, New York, United States",,Alive,"Fletcher Christian Finnegan (born April 1, 1973), better known as Christian Finnegan, is an American stand-up comedian, writer and actor based in New York City.Finnegan was born in Albany, New York. He grew up in Acton, Massachusetts, and attended The Walnut Hill School, a boarding/day high school focused on programs in the performing, visual, and creative arts and located in Natick, Massachusetts.[citation needed]Finnegan is perhaps best known as one of the original panelists on  VH1's Best Week Ever and as Chad, the only white roommate in the “Mad Real World” sketch on Comedy Central's Chappelle's Show.",https://en.wikipedia.org/wiki/Christian_Finnegan,https://upload.wikimedia.org/wikipedia/commons/1/10/Christian_Finnegan.jpg
Greg Fitzsimmons,1966-4-5,"New York, New York, U.S.",,Alive,"Gregory Sebastian ""Greg"" Fitzsimmons (born April 5, 1966) is an American stand-up comedian, writer, producer and radio host. He hosted The Greg Fitzsimmons Show on Howard 101 until December 2018.Fitzsimmons was born in New York City, New York, to New York City radio personality Bob Fitzsimmons, and Patricia (née McCarthy) Fitzsimmons.[1] He grew up in Tarrytown, New York.",https://en.wikipedia.org/wiki/Greg_Fitzsimmons,https://upload.wikimedia.org/wikipedia/en/e/e7/GregStandup.jpg
Maile Flanagan,1965-5-19,"Honolulu, Hawaii, U.S.",,Alive,"Maile Flanagan (born May 19, 1965) is an American film, television and voice actress. She is best known for her roles as Naruto Uzumaki in the English dub of Naruto and Terry Perry on Lab Rats. She has also had recurring roles on Shameless, Bad Teacher, The Class, Grey's Anatomy and many cartoons.Flanagan was born in Honolulu, Hawaii.",https://en.wikipedia.org/wiki/Maile_Flanagan,https://upload.wikimedia.org/wikipedia/commons/1/1a/Maile_Flanagan_by_Gage_Skidmore.jpg
Charles Fleischer,1950-8-27,"Washington, D.C., U.S.",,Alive,"Charles Fleischer (born August 27, 1950) is an American stand-up comedian, actor, writer and musician, best known for appearing in films such as A Nightmare on Elm Street, Who Framed Roger Rabbit, The Polar Express, Rango, and We're Back! A Dinosaur's Story.[1] He also reprised the role of Roger Rabbit in the Roger Rabbit theatrical shorts. After beginning his career on the comedy club circuit, Charles Fleischer's first big break in comedy television came when he made an appearance on Rowan & Martin's Laugh-In.[2]Fleischer was born and raised in Washington, D.",https://en.wikipedia.org/wiki/Charles_Fleischer,https://upload.wikimedia.org/wikipedia/commons/d/d8/Charles_Fleischer.jpg
Jim Florentine,1964-8-18,"Brooklyn, New York",,Alive,"James Florentine (born August 18, 1964) is an American stand-up comedian, actor, author and television personality. He is best known for co-hosting That Metal Show on VH1 Classic and voicing several characters on Crank Yankers, including Special Ed and Bobby Fletcher. He hosts Metal Midgets on Sirius XM Satellite Radio and a podcast called Everybody Is Awful (Except You). He has released six albums of stand-up comedy, two comedy specials, six installments in the Terrorizing Telemarketers prank call compilation, and three installments of the Meet the Creeps hidden camera show.",https://en.wikipedia.org/wiki/Jim_Florentine,https://upload.wikimedia.org/wikipedia/commons/d/d8/Jim_Florentine.jpg
John Fox,1953-04,"Camp LeJeune, Onslow County, North Carolina",2012-05-30,Deceased,"John Fox (April 24, 1953[citation needed] – May 30, 2012) was an American comedian.[1]John Fox was born John Edward Moore April 24, 1953 while his father was stationed at Camp Lejeune, North Carolina.  He lived in Waukegan, Illinois until age 8 when the family moved to Zion, Illinois.  The family returned to Waukegan when John was 13.",https://en.wikipedia.org/wiki/John_Fox_(comedian),https://upload.wikimedia.org/wikipedia/commons/8/8b/John_Fox%28american_comedian%29.jpg
Kirk Fox,1969-8-26,"San Diego, California, U.S.",,Alive,"Kirk Fox (born August 26, 1969) is an American actor, screenwriter, and stand-up comedian.[1][2][3]Fox played Sewage Joe on Parks and Recreation and was a regular on Nickelodeon's How to Rock as Mr. March. Other credits include Community on NBC, Who Gets the Last Laugh? on TBS, and Brooklyn Nine-Nine on Fox.",https://en.wikipedia.org/wiki/Kirk_Fox,https://upload.wikimedia.org/wikipedia/commons/3/3a/Kirk_fox_purple_background.jpg
Jeff Foxworthy,1958-9-6,"Atlanta, Georgia (U.S. state)|Georgia, U.S.",,Alive,"Jeffrey Marshall Foxworthy (born September 6, 1958) is an American stand-up comedian, actor, writer, producer, television personality, radio personality and author. He is a member of the Blue Collar Comedy Tour, a comedy troupe which also comprises Larry the Cable Guy, Bill Engvall, and Ron White. Known for his ""You might be a redneck"" one-liners, Foxworthy has released six major-label comedy albums. His first two albums were each certified 3× Platinum by the Recording Industry Association of America.",https://en.wikipedia.org/wiki/Jeff_Foxworthy,https://upload.wikimedia.org/wikipedia/commons/b/b6/Jeff_Foxworthy.jpg
Jamie Foxx,1967-12-13,"Terrell, Texas, U.S.",,Alive,"Eric Marlon Bishop (born December 13, 1967),[1] better known by his stage name Jamie Foxx, is an American actor, singer, comedian, songwriter, and producer. Foxx became widely known for his portrayal of Ray Charles in the 2004 biographical film Ray, for which he won the Academy Award, BAFTA, Screen Actors Guild Award, Critics' Choice Movie Award and Golden Globe Award for Best Actor. That same year, he was nominated for the Academy Award for Best Supporting Actor for his role in the crime film Collateral. Since spring 2017, Foxx has served as the host and executive producer of the Fox game show Beat Shazam.",https://en.wikipedia.org/wiki/Jamie_Foxx,https://upload.wikimedia.org/wikipedia/commons/8/88/Jamie_Foxx_by_Gage_Skidmore.jpg
